Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		1.6152		1.4675		0.0000		0.1669		0.00500000
2		1.2810		1.3813		0.0000		0.1761		0.00477443
3		1.1560		1.3110		0.0000		0.1767		0.00454766
4		1.1245		1.2933		0.0000		0.2039		0.00431963
5		1.0579		1.1253		0.0000		0.2453		0.00409026
6		1.0132		1.0967		0.0000		0.2408		0.00385945
7		0.9633		1.0506		0.0000		0.2573		0.00362709
8		0.9430		1.0780		0.0000		0.2502		0.00339306
9		0.9081		0.9532		0.0000		0.2825		0.00315723
10		0.8841		1.0193		0.0000		0.2720		0.00291942
11		0.8558		0.8991		0.0000		0.2998		0.00267943
12		0.8584		0.8936		0.0000		0.2887		0.00243703
13		0.8216		0.8644		0.0000		0.3097		0.00219192
14		0.7840		0.8782		0.0000		0.2888		0.00194371
15		0.8058		0.8316		0.0000		0.3086		0.00169192
16		0.7732		0.8373		0.0000		0.3100		0.00143587
17		0.7725		0.8345		0.0000		0.3066		0.00117462
18		0.7690		0.8424		0.0000		0.3124		0.00090668
19		0.7420		0.8291		0.0000		0.3234		0.00062946
20		0.7354		0.7707		0.0000		0.3221		0.00033732
