Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		2.7563		2.4885		0.0000		0.1287		0.00005000
2		2.3760		2.2725		0.0000		0.1718		0.00005000
3		2.1758		2.1198		0.0000		0.1963		0.00005000
4		2.0217		1.9794		0.0000		0.2200		0.00005000
5		1.9048		1.8648		0.0000		0.2361		0.00005000
6		1.8105		1.7968		0.0000		0.2354		0.00005000
7		1.7394		1.7371		0.0000		0.2454		0.00005000
8		1.6840		1.7030		0.0000		0.2560		0.00005000
9		1.6402		1.6378		0.0000		0.2549		0.00005000
10		1.6010		1.6037		0.0000		0.2559		0.00004000
11		1.5728		1.5841		0.0000		0.2588		0.00004000
12		1.5457		1.5501		0.0000		0.2699		0.00004000
13		1.5205		1.5214		0.0000		0.2702		0.00004000
14		1.4929		1.5075		0.0000		0.2725		0.00004000
15		1.4698		1.4880		0.0000		0.2806		0.00004000
16		1.4468		1.4600		0.0000		0.2852		0.00004000
17		1.4248		1.4390		0.0000		0.2910		0.00004000
18		1.4012		1.4231		0.0000		0.2908		0.00004000
19		1.3835		1.4134		0.0000		0.2976		0.00004000
20		1.3641		1.3828		0.0000		0.3008		0.00003200
21		1.3470		1.3641		0.0000		0.3080		0.00003200
22		1.3308		1.3567		0.0000		0.3036		0.00003200
23		1.3176		1.3527		0.0000		0.3050		0.00003200
24		1.3046		1.3204		0.0000		0.3095		0.00003200
25		1.2874		1.3135		0.0000		0.3143		0.00003200
26		1.2718		1.3054		0.0000		0.3178		0.00003200
27		1.2612		1.2990		0.0000		0.3136		0.00003200
28		1.2496		1.2711		0.0000		0.3254		0.00003200
29		1.2331		1.2642		0.0000		0.3217		0.00003200
30		1.2206		1.2509		0.0000		0.3233		0.00002560
