Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		2.7735		2.5537		0.0000		0.1309		0.00005000
2		2.3945		2.2423		0.0000		0.1852		0.00005000
3		2.1321		2.0769		0.0000		0.2020		0.00005000
4		1.9769		1.9326		0.0000		0.2202		0.00005000
5		1.8821		1.8795		0.0000		0.2318		0.00004000
6		1.8174		1.8045		0.0000		0.2362		0.00004000
7		1.7729		1.7746		0.0000		0.2355		0.00004000
8		1.7289		1.7304		0.0000		0.2424		0.00004000
9		1.6902		1.7013		0.0000		0.2493		0.00004000
10		1.6571		1.6681		0.0000		0.2477		0.00003200
11		1.6329		1.6449		0.0000		0.2507		0.00003200
12		1.6090		1.6226		0.0000		0.2524		0.00003200
13		1.5891		1.6023		0.0000		0.2484		0.00003200
14		1.5674		1.5848		0.0000		0.2538		0.00003200
15		1.5453		1.5629		0.0000		0.2581		0.00002560
16		1.5300		1.5478		0.0000		0.2586		0.00002560
17		1.5153		1.5430		0.0000		0.2609		0.00002560
18		1.5000		1.5209		0.0000		0.2605		0.00002560
19		1.4895		1.5047		0.0000		0.2636		0.00002560
20		1.4753		1.4939		0.0000		0.2662		0.00002048
