Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		0.1081		0.2598		0.0000		0.7003		0.00005000
2		0.1065		0.2596		0.0000		0.7190		0.00004850
3		0.1067		0.2625		0.0000		0.7040		0.00004699
4		0.1066		0.2640		0.0000		0.7106		0.00004548
5		0.1059		0.2587		0.0000		0.7191		0.00004396
6		0.1046		0.2536		0.0000		0.7188		0.00004243
7		0.1054		0.2667		0.0000		0.7069		0.00004090
8		0.1041		0.2545		0.0000		0.7155		0.00003937
9		0.1037		0.2613		0.0000		0.6990		0.00003782
10		0.1036		0.2603		0.0000		0.7103		0.00003627
11		0.1029		0.2608		0.0000		0.7035		0.00003471
12		0.1030		0.2542		0.0000		0.7097		0.00003315
13		0.1026		0.2494		0.0000		0.7170		0.00003157
14		0.1025		0.2487		0.0000		0.7157		0.00002999
15		0.1026		0.2633		0.0000		0.7085		0.00002840
16		0.1020		0.2625		0.0000		0.7178		0.00002679
17		0.1015		0.2574		0.0000		0.7235		0.00002518
18		0.1019		0.2597		0.0000		0.7127		0.00002356
19		0.1014		0.2626		0.0000		0.7220		0.00002192
20		0.1010		0.2612		0.0000		0.7153		0.00002027
21		0.1011		0.2550		0.0000		0.7246		0.00001860
22		0.1007		0.2523		0.0000		0.7249		0.00001692
23		0.1004		0.2575		0.0000		0.7166		0.00001522
24		0.1001		0.2570		0.0000		0.7214		0.00001349
25		0.1001		0.2563		0.0000		0.7177		0.00001175
26		0.1000		0.2580		0.0000		0.7179		0.00000997
27		0.0996		0.2584		0.0000		0.7157		0.00000815
28		0.0994		0.2602		0.0000		0.7187		0.00000629
29		0.0992		0.2573		0.0000		0.7163		0.00000437
30		0.0992		0.2577		0.0000		0.7189		0.00000234
