Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		0.2594		0.4394		0.0000		0.7176		0.00005000
2		0.2583		0.4467		0.0000		0.7129		0.00004850
3		0.2570		0.4410		0.0000		0.7116		0.00004699
4		0.2565		0.4357		0.0000		0.7225		0.00004548
5		0.2553		0.4437		0.0000		0.7230		0.00004396
6		0.2546		0.4437		0.0000		0.7188		0.00004243
7		0.2358		0.3844		0.0000		0.7190		0.00004090
8		0.2108		0.3866		0.0000		0.7145		0.00003937
9		0.2085		0.3848		0.0000		0.7127		0.00003782
10		0.2046		0.3812		0.0000		0.7260		0.00003627
11		0.2033		0.3709		0.0000		0.7248		0.00003471
12		0.2020		0.3819		0.0000		0.7212		0.00003315
13		0.2012		0.3772		0.0000		0.7207		0.00003157
14		0.2007		0.3800		0.0000		0.7253		0.00002999
15		0.1995		0.3831		0.0000		0.7183		0.00002840
16		0.1998		0.3776		0.0000		0.7185		0.00002679
17		0.1992		0.3777		0.0000		0.7026		0.00002518
18		0.1982		0.3797		0.0000		0.7251		0.00002356
19		0.1973		0.3779		0.0000		0.7257		0.00002192
20		0.1965		0.3789		0.0000		0.7193		0.00002027
21		0.1966		0.3776		0.0000		0.7230		0.00001860
22		0.1953		0.3790		0.0000		0.7256		0.00001692
23		0.1951		0.3826		0.0000		0.7249		0.00001522
24		0.1948		0.3844		0.0000		0.7227		0.00001349
25		0.1942		0.3787		0.0000		0.7260		0.00001175
26		0.1928		0.3805		0.0000		0.7178		0.00000997
27		0.1915		0.3764		0.0000		0.7180		0.00000815
28		0.1905		0.3805		0.0000		0.7226		0.00000629
29		0.1900		0.3787		0.0000		0.7252		0.00000437
30		0.1899		0.3786		0.0000		0.7250		0.00000234
