Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		2.3214		2.3009		0.0000		0.6887		0.00005000
2		2.2662		2.2606		0.0000		0.6913		0.00004850
3		2.2283		2.2285		0.0000		0.6938		0.00004699
4		2.1971		2.2019		0.0000		0.6944		0.00004548
5		2.1716		2.1820		0.0000		0.6981		0.00004396
6		2.1527		2.1675		0.0000		0.6995		0.00004243
7		2.1399		2.1583		0.0000		0.7036		0.00004090
8		2.1312		2.1535		0.0000		0.6898		0.00003937
9		2.1259		2.1494		0.0000		0.7020		0.00003782
10		2.1223		2.1472		0.0000		0.6953		0.00003627
11		2.1195		2.1447		0.0000		0.6997		0.00003471
12		2.1174		2.1422		0.0000		0.7045		0.00003315
13		2.1156		2.1415		0.0000		0.6925		0.00003157
14		2.1144		2.1404		0.0000		0.6887		0.00002999
15		2.1132		2.1402		0.0000		0.6915		0.00002840
16		2.1122		2.1390		0.0000		0.6975		0.00002679
17		2.1112		2.1383		0.0000		0.6884		0.00002518
18		2.1104		2.1375		0.0000		0.6946		0.00002356
19		2.1098		2.1375		0.0000		0.6936		0.00002192
20		2.1091		2.1367		0.0000		0.6938		0.00002027
21		2.1088		2.1365		0.0000		0.6876		0.00001860
22		2.1083		2.1362		0.0000		0.6903		0.00001692
23		2.1078		2.1360		0.0000		0.6919		0.00001522
24		2.1074		2.1356		0.0000		0.6834		0.00001349
25		2.1072		2.1351		0.0000		0.6886		0.00001175
26		2.1069		2.1355		0.0000		0.6926		0.00000997
27		2.1066		2.1351		0.0000		0.6888		0.00000815
28		2.1065		2.1351		0.0000		0.6883		0.00000629
29		2.1064		2.1351		0.0000		0.6883		0.00000437
30		2.1063		2.1345		0.0000		0.6898		0.00000234
