Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		0.1447		0.1707		0.0000		0.7138		0.00005000
2		0.1426		0.1699		0.0000		0.7219		0.00004850
3		0.1418		0.1682		0.0000		0.7039		0.00004699
4		0.1165		0.1097		0.0000		0.6928		0.00004548
5		0.0829		0.0961		0.0000		0.7003		0.00004396
6		0.0745		0.0931		0.0000		0.6970		0.00004243
7		0.0709		0.0916		0.0000		0.6828		0.00004090
8		0.0689		0.0896		0.0000		0.7051		0.00003937
9		0.0667		0.0894		0.0000		0.6904		0.00003782
10		0.0655		0.0886		0.0000		0.6900		0.00003627
11		0.0644		0.0872		0.0000		0.6923		0.00003471
12		0.0632		0.0880		0.0000		0.6831		0.00003315
13		0.0621		0.0875		0.0000		0.6895		0.00003157
14		0.0617		0.0875		0.0000		0.6821		0.00002999
15		0.0607		0.0867		0.0000		0.6850		0.00002840
16		0.0603		0.0865		0.0000		0.6949		0.00002679
17		0.0601		0.0862		0.0000		0.6917		0.00002518
18		0.0595		0.0861		0.0000		0.6949		0.00002356
19		0.0591		0.0857		0.0000		0.6914		0.00002192
20		0.0584		0.0854		0.0000		0.6989		0.00002027
21		0.0581		0.0860		0.0000		0.7001		0.00001860
22		0.0580		0.0856		0.0000		0.6993		0.00001692
23		0.0578		0.0855		0.0000		0.6946		0.00001522
24		0.0574		0.0853		0.0000		0.7018		0.00001349
25		0.0568		0.0847		0.0000		0.6995		0.00001175
26		0.0567		0.0849		0.0000		0.6970		0.00000997
27		0.0564		0.0853		0.0000		0.6990		0.00000815
28		0.0566		0.0854		0.0000		0.6961		0.00000629
29		0.0561		0.0854		0.0000		0.6903		0.00000437
30		0.0560		0.0854		0.0000		0.6963		0.00000234
