Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		2.6172		2.3028		0.0000		0.1177		0.00005000
2		2.0562		1.8289		0.0000		0.1727		0.00004774
3		1.6531		1.5198		0.0000		0.2419		0.00004548
4		1.3811		1.3053		0.0000		0.2593		0.00004320
5		1.1934		1.1607		0.0000		0.2720		0.00004090
6		1.0600		1.0639		0.0000		0.2734		0.00003859
7		0.9675		0.9913		0.0000		0.2734		0.00003627
8		0.8984		0.9350		0.0000		0.2743		0.00003393
9		0.8467		0.8901		0.0000		0.2750		0.00003157
10		0.8026		0.8586		0.0000		0.2758		0.00002919
11		0.7696		0.8322		0.0000		0.2757		0.00002679
12		0.7450		0.8244		0.0000		0.2749		0.00002437
13		0.7257		0.8018		0.0000		0.2756		0.00002192
14		0.7105		0.7949		0.0000		0.2757		0.00001944
15		0.6972		0.7858		0.0000		0.2757		0.00001692
16		0.6870		0.7766		0.0000		0.2752		0.00001436
17		0.6783		0.7714		0.0000		0.2757		0.00001175
18		0.6721		0.7648		0.0000		0.2764		0.00000907
19		0.6673		0.7603		0.0000		0.2771		0.00000629
20		0.6641		0.7597		0.0000		0.2777		0.00000337
