Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		0.2863		0.3806		0.0000		0.7200		0.00005000
2		0.2484		0.3737		0.0000		0.7168		0.00004850
3		0.2362		0.3667		0.0000		0.7185		0.00004699
4		0.2287		0.3608		0.0000		0.6965		0.00004548
5		0.2197		0.3462		0.0000		0.7190		0.00004396
6		0.2033		0.3196		0.0000		0.7208		0.00004243
7		0.1697		0.3040		0.0000		0.7082		0.00004090
8		0.1590		0.2971		0.0000		0.7237		0.00003937
9		0.1549		0.2965		0.0000		0.7132		0.00003782
10		0.1525		0.2975		0.0000		0.7136		0.00003627
11		0.1508		0.2956		0.0000		0.7239		0.00003471
12		0.1490		0.2950		0.0000		0.7224		0.00003315
13		0.1479		0.2953		0.0000		0.7143		0.00003157
14		0.1473		0.3062		0.0000		0.7032		0.00002999
15		0.1459		0.2987		0.0000		0.7145		0.00002840
16		0.1451		0.2961		0.0000		0.7229		0.00002679
17		0.1445		0.2973		0.0000		0.7149		0.00002518
18		0.1438		0.2984		0.0000		0.7119		0.00002356
19		0.1432		0.3028		0.0000		0.7120		0.00002192
20		0.1425		0.2988		0.0000		0.7189		0.00002027
21		0.1416		0.3016		0.0000		0.7094		0.00001860
22		0.1412		0.2979		0.0000		0.7152		0.00001692
23		0.1412		0.2942		0.0000		0.7244		0.00001522
24		0.1399		0.2985		0.0000		0.7092		0.00001349
25		0.1393		0.2967		0.0000		0.7147		0.00001175
26		0.1394		0.3031		0.0000		0.7182		0.00000997
27		0.1392		0.3021		0.0000		0.7223		0.00000815
28		0.1384		0.2986		0.0000		0.7220		0.00000629
29		0.1386		0.2964		0.0000		0.7219		0.00000437
30		0.1381		0.2995		0.0000		0.7212		0.00000234
