Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		0.7203		0.6910		0.0000		0.6828		0.00005000
2		0.5643		0.6434		0.0000		0.6963		0.00004850
3		0.5343		0.6219		0.0000		0.7046		0.00004699
4		0.5136		0.6041		0.0000		0.6998		0.00004548
5		0.4798		0.5518		0.0000		0.7034		0.00004396
6		0.3163		0.3179		0.0000		0.6947		0.00004243
7		0.2112		0.2975		0.0000		0.6924		0.00004090
8		0.1945		0.2835		0.0000		0.6915		0.00003937
9		0.1848		0.2861		0.0000		0.6925		0.00003782
10		0.1791		0.2873		0.0000		0.6923		0.00003627
11		0.1747		0.2845		0.0000		0.7088		0.00003471
12		0.1700		0.2874		0.0000		0.6934		0.00003315
13		0.1696		0.2853		0.0000		0.7081		0.00003157
14		0.1659		0.2945		0.0000		0.7010		0.00002999
15		0.1650		0.2915		0.0000		0.7108		0.00002840
16		0.1612		0.2962		0.0000		0.7108		0.00002679
17		0.1602		0.2890		0.0000		0.7086		0.00002518
18		0.1574		0.2990		0.0000		0.7091		0.00002356
19		0.1560		0.2944		0.0000		0.7083		0.00002192
20		0.1556		0.2942		0.0000		0.7165		0.00002027
21		0.1551		0.2958		0.0000		0.7092		0.00001860
22		0.1539		0.2958		0.0000		0.7148		0.00001692
23		0.1529		0.2934		0.0000		0.7082		0.00001522
24		0.1515		0.2961		0.0000		0.7079		0.00001349
25		0.1506		0.2952		0.0000		0.7075		0.00001175
26		0.1496		0.2960		0.0000		0.7122		0.00000997
27		0.1494		0.2964		0.0000		0.7106		0.00000815
28		0.1488		0.3009		0.0000		0.7117		0.00000629
29		0.1477		0.2984		0.0000		0.7115		0.00000437
30		0.1489		0.2982		0.0000		0.7135		0.00000234
