Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		0.8240		0.8050		0.0000		0.6850		0.00005000
2		0.6625		0.7570		0.0000		0.6957		0.00004850
3		0.6298		0.7378		0.0000		0.6984		0.00004699
4		0.6057		0.7109		0.0000		0.6979		0.00004548
5		0.5698		0.6575		0.0000		0.7049		0.00004396
6		0.3849		0.3769		0.0000		0.7069		0.00004243
7		0.2370		0.3403		0.0000		0.7012		0.00004090
8		0.2161		0.3196		0.0000		0.7023		0.00003937
9		0.2048		0.3203		0.0000		0.7035		0.00003782
10		0.1985		0.3167		0.0000		0.7089		0.00003627
11		0.1944		0.3216		0.0000		0.7095		0.00003471
12		0.1911		0.3225		0.0000		0.7167		0.00003315
13		0.1846		0.3248		0.0000		0.6987		0.00003157
14		0.1837		0.3199		0.0000		0.7060		0.00002999
15		0.1815		0.3284		0.0000		0.7120		0.00002840
16		0.1794		0.3245		0.0000		0.7060		0.00002679
17		0.1774		0.3301		0.0000		0.7020		0.00002518
18		0.1753		0.3249		0.0000		0.7012		0.00002356
19		0.1736		0.3303		0.0000		0.7059		0.00002192
20		0.1723		0.3252		0.0000		0.7116		0.00002027
21		0.1715		0.3312		0.0000		0.7092		0.00001860
22		0.1694		0.3328		0.0000		0.7074		0.00001692
23		0.1681		0.3330		0.0000		0.7080		0.00001522
24		0.1682		0.3271		0.0000		0.7100		0.00001349
25		0.1674		0.3357		0.0000		0.7088		0.00001175
26		0.1660		0.3302		0.0000		0.7121		0.00000997
27		0.1650		0.3353		0.0000		0.7099		0.00000815
28		0.1647		0.3352		0.0000		0.7071		0.00000629
29		0.1644		0.3349		0.0000		0.7067		0.00000437
30		0.1631		0.3328		0.0000		0.7113		0.00000234
