Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		1.9530		1.9375		0.0000		0.6554		0.00005000
2		1.8967		1.8959		0.0000		0.6596		0.00004850
3		1.8583		1.8626		0.0000		0.6646		0.00004699
4		1.8275		1.8372		0.0000		0.6704		0.00004548
5		1.8029		1.8173		0.0000		0.6714		0.00004396
6		1.7838		1.8016		0.0000		0.6795		0.00004243
7		1.7692		1.7896		0.0000		0.6721		0.00004090
8		1.7586		1.7802		0.0000		0.6834		0.00003937
9		1.7502		1.7725		0.0000		0.6820		0.00003782
10		1.7437		1.7675		0.0000		0.6829		0.00003627
11		1.7379		1.7595		0.0000		0.6756		0.00003471
12		1.7241		1.7213		0.0000		0.6719		0.00003315
13		1.6853		1.6970		0.0000		0.6597		0.00003157
14		1.6740		1.6908		0.0000		0.6536		0.00002999
15		1.6681		1.6877		0.0000		0.6571		0.00002840
16		1.6649		1.6844		0.0000		0.6637		0.00002679
17		1.6620		1.6827		0.0000		0.6622		0.00002518
18		1.6596		1.6818		0.0000		0.6657		0.00002356
19		1.6576		1.6801		0.0000		0.6633		0.00002192
20		1.6557		1.6792		0.0000		0.6680		0.00002027
21		1.6544		1.6778		0.0000		0.6557		0.00001860
22		1.6533		1.6766		0.0000		0.6597		0.00001692
23		1.6517		1.6755		0.0000		0.6627		0.00001522
24		1.6513		1.6759		0.0000		0.6647		0.00001349
25		1.6506		1.6756		0.0000		0.6623		0.00001175
26		1.6495		1.6754		0.0000		0.6627		0.00000997
27		1.6492		1.6756		0.0000		0.6654		0.00000815
28		1.6486		1.6757		0.0000		0.6638		0.00000629
29		1.6482		1.6746		0.0000		0.6634		0.00000437
30		1.6480		1.6748		0.0000		0.6638		0.00000234
