Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		2.3760		2.3626		0.0000		0.6528		0.00005000
2		2.3294		2.3287		0.0000		0.6577		0.00004850
3		2.2979		2.3037		0.0000		0.6580		0.00004699
4		2.2723		2.2808		0.0000		0.6694		0.00004548
5		2.2520		2.2636		0.0000		0.6783		0.00004396
6		2.2362		2.2514		0.0000		0.6747		0.00004243
7		2.2245		2.2414		0.0000		0.6833		0.00004090
8		2.2158		2.2347		0.0000		0.6785		0.00003937
9		2.2094		2.2286		0.0000		0.6696		0.00003782
10		2.2043		2.2239		0.0000		0.6832		0.00003627
11		2.1994		2.2182		0.0000		0.6736		0.00003471
12		2.1915		2.2021		0.0000		0.6666		0.00003315
13		2.1635		2.1665		0.0000		0.6533		0.00003157
14		2.1476		2.1624		0.0000		0.6555		0.00002999
15		2.1425		2.1577		0.0000		0.6617		0.00002840
16		2.1391		2.1555		0.0000		0.6604		0.00002679
17		2.1367		2.1542		0.0000		0.6590		0.00002518
18		2.1342		2.1524		0.0000		0.6706		0.00002356
19		2.1328		2.1516		0.0000		0.6648		0.00002192
20		2.1317		2.1507		0.0000		0.6679		0.00002027
21		2.1304		2.1503		0.0000		0.6652		0.00001860
22		2.1289		2.1494		0.0000		0.6600		0.00001692
23		2.1283		2.1485		0.0000		0.6618		0.00001522
24		2.1273		2.1480		0.0000		0.6630		0.00001349
25		2.1272		2.1478		0.0000		0.6538		0.00001175
26		2.1265		2.1472		0.0000		0.6596		0.00000997
27		2.1257		2.1467		0.0000		0.6631		0.00000815
28		2.1252		2.1470		0.0000		0.6599		0.00000629
29		2.1252		2.1463		0.0000		0.6605		0.00000437
30		2.1245		2.1464		0.0000		0.6600		0.00000234
