Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		0.6310		0.5676		0.0000		0.6809		0.00005000
2		0.4656		0.5144		0.0000		0.6989		0.00004850
3		0.4351		0.4949		0.0000		0.7058		0.00004699
4		0.4133		0.4702		0.0000		0.7008		0.00004548
5		0.3715		0.3659		0.0000		0.6959		0.00004396
6		0.1806		0.1849		0.0000		0.6794		0.00004243
7		0.1146		0.1649		0.0000		0.6930		0.00004090
8		0.1001		0.1537		0.0000		0.7039		0.00003937
9		0.0936		0.1571		0.0000		0.6849		0.00003782
10		0.0900		0.1449		0.0000		0.6932		0.00003627
11		0.0869		0.1479		0.0000		0.6887		0.00003471
12		0.0839		0.1441		0.0000		0.6808		0.00003315
13		0.0819		0.1486		0.0000		0.7015		0.00003157
14		0.0805		0.1466		0.0000		0.7078		0.00002999
15		0.0790		0.1422		0.0000		0.7068		0.00002840
16		0.0785		0.1432		0.0000		0.7072		0.00002679
17		0.0777		0.1410		0.0000		0.7073		0.00002518
18		0.0766		0.1490		0.0000		0.6955		0.00002356
19		0.0753		0.1459		0.0000		0.7028		0.00002192
20		0.0754		0.1444		0.0000		0.7069		0.00002027
21		0.0744		0.1449		0.0000		0.7051		0.00001860
22		0.0738		0.1446		0.0000		0.7090		0.00001692
23		0.0733		0.1443		0.0000		0.7065		0.00001522
24		0.0731		0.1458		0.0000		0.7073		0.00001349
25		0.0726		0.1430		0.0000		0.7065		0.00001175
26		0.0725		0.1433		0.0000		0.7063		0.00000997
27		0.0717		0.1456		0.0000		0.7035		0.00000815
28		0.0712		0.1452		0.0000		0.7028		0.00000629
29		0.0710		0.1454		0.0000		0.7012		0.00000437
30		0.0709		0.1457		0.0000		0.7074		0.00000234
